Food_Code,Food_Name,Scientific_Name,Local_Name_Assamese,Local_Name_Bengali,Local_Name_English,Local_Name_Gujarati,Local_Name_Hindi,Local_Name_Kannada,Local_Name_Kashmiri,Local_Name_Khasi,Local_Name_Konkani,Local_Name_Malayalam,Local_Name_Manipuri,Local_Name_Marathi,Local_Name_Nepali,Local_Name_Oriya,Local_Name_Punjabi,Local_Name_Sanskrit,Local_Name_Tamil,Local_Name_Telugu,Local_Name_Urdu,Local_Name_Common_Name,Food_Group,Tags,OWL_Category
A001,"Amaranth seed, black",Amaranthus cruentus,Moricha guti,NA,NA,NA,Ramdana,Danthu beeja,Mawal,NA,NA,Cheera vithu,Chengkruk Maru,Cavali biya,NA,Kosala sag manji Dhala,Chaulali beej,NA,Keerai vidai,Thotakoora ginjalu.,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,NutsAndSeeds
A002,"Amaranth seed, pale brown",Amaranthus cruentus,Moricha guti,NA,NA,Rajagaro,Ramdana,Danthu beeja,Mawal,NA,NA,Cheera vithu,Chengkruk Maru,Cavali biya,NA,Kosala sag maji kale,Chaulali beej,NA,Keerai vidai,Thotakoora ginjalu.,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,NutsAndSeeds
A003,Bajra,Pennisetum typhoideum,NA,Bajra,Pearl millet,Bajri,Bajra,Sajje,Baajra,Krai,NA,Kambam,NA,Bajra,Bajara,Bajra,Bajra,NA,Kambu,Sajjalu,Bajra.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A004,Barley,Hordeum vulgare,Barli,Barley,NA,Jav,Jau,Barley,Wushke,Krai,NA,Barley,NA,Sath,Jau,Jaba,Jao,Yava,Baarli Arisi,Barley,Jau.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A005,Jowar,Sorghum vulgare,Jowar,Jowar,Sorghum,Jowar,Jowar,Jolada,Pingu,Krai,NA,irunku,NA,Jondhahlaa,NA,Janha,Javara,NA,Cholam,Jonna,Jowar.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A006,"Maize, dry",Zea mays,Makoi,Bhutta,Corn,Makai,Makka,Mekke jola,Makai,Symbai riewhadem stem,NA,Maize,Chujaak,Maka,Sukha makai,Maka,Chhali,Yaavanaala,Makka Cholam,Mokkajonna,makai.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A007,"Maize, tender, local",Zea mays,Makoi,Bhutta,Corn,Lili makai,Makka,Mekke jola,Makai,Riewhadem Stem,NA,Maize,Chujaak,Maka,Makai,Maka,Chhali,NA,Makka Cholam,Mokkajonna,Makai.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A008,"Maize, tender, sweet",Zea mays,Makoi,Bhutta,Corn,Lili makai,Makka,Mekke jola,Makai,Riewhadem lieh,NA,Maize,Chujaak,Maka,Makai,Maka,Chhali,NA,Makka Cholam,Mokkajonna,makai.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A009,Quinoa,Chenopodium quinoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A010,Ragi,Eleusine coracana,Ragi,Ragi,Finger millet,Bavato,Ragi,Bhakri,NA,Ukrai,NA,Panjapulle,NA,Bhakri,Kodo,Mandia,Mandal,Madhulika,Kelvaragu,Ragi,Mandwa.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A011,Rice flakes,Oryza sativa,Chira,Chide,Flattened rice,Paunva,Poha,Avalakki,Chevri,Shira,NA,Aval,Chengpaak,Pohe,NA,Chudaa,Chirwre,NA,Aval,Atukulu,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,MilledCerealProducts
A012,Rice puffed,Oryza sativa,Muri,Muri,NA,Mamra,Muramure,Kalle Puri,Tomul,Muri,NA,Pori,Kabok Mur,Chirmure,Murai,Mudhi,Phulian,NA,Pori,Maramaralu,Murmure.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,MilledCerealProducts
A013,"Rice, raw, brown",Oryza sativa,Matia rangar chaul,NA,Whole grain rice,Kathai chokha,Chawal,NA,Tomul,Khaw saw,NA,Kuthari,Cheng,NA,NA,NA,Bhura choul,NA,Arisi,Dampudu biyyam.,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A014,"Rice, parboiled, milled",Oryza sativa,Ukhua chaul,Siddha chowl,Converted rice,Bafela Chokha,Usna chawal,Kusubalakki,Tomul,Khaw boil,NA,Puzhungal ari,Cheng,Ukadla tandool,NA,Usuna chaula,Biga hua chawal,NA,Puzhungal arisi,Uppudu biyyam.,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,MilledCerealProducts
A015,"Rice, raw, milled",Oryza sativa,Milat khunda chaul,Chowl,NA,Choka,Chawal,Akki,Tomul,Khaw boil,NA,NA,Cheng,Tondool,NA,Chaula,Chaul,NA,Arisi,Biyyam.,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,MilledCerealProducts
A016,Samai,Panicum miliare,NA,Sama,Little millet,Kuri,Shavan,Sama,Ganuhaar,NA,NA,Chama,NA,Sava,NA,Suan,Swank,NA,Samai,Sama.,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A017,Varagu,Setaria italica,Konidhan,Syama dhan,Kodo millet,Ral gana,NA,Priyangu thene,Snol,NA,NA,Thina,NA,Rala,NA,NA,Kangni,NA,Thinai,Karralu.,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A018,"Wheat flour, refined",Triticum aestivum,Moida,Maida,NA,Maido,Maida,Maida,Oat,Moida,NA,Maida mavu,Moida,Maida,Maida,Maida,Maida,NA,Maida mavu,Maida pindi,Maida.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,MilledCerealProducts
A019,"Wheat flour, atta",Triticum aestivum,NA,Ata,NA,Samagra gha,Atta,Sampurna godhi hittu,Oat unno lota ghaun no lot,NA,NA,Godhambu mavu,NA,Kaneek,NA,Gahama atta,Atta,NA,Mulu Godumai maavu,Sampurna godhuma pindi.,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,MilledCerealProducts
A020,"Wheat, whole",Triticum aestivum,Ghehu,Gom,NA,Ghaun,Gehun,Godhi,Kinek,Ukew,NA,Godhumbu,Ghehu,Gehu,Gau,Gahama,Kanaka,Godhum,Godumai,Godhumalu,Gehun.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,Cereals
A021,"Wheat, bulgur",Triticum aestivum,Dalia,Dalia,Burghul,Bulgur ghaum,Dalia,Bulgur godhi,Kinek,Kew,NA,Godhambu Ravu,NA,Bulgur gahu,Gau ko pitho,Dalia,Dalia,NA,Godumai ravai,Bulgur,Dalia.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,MilledCerealProducts
A022,"Wheat, semolina",Triticum aestivum,Suji,Suji,Durum wheat,Ghaum soji,Gehun suji,Godhi rave,Sooj,Suji,NA,Uppumavu,Suji,Gahu rava,Suji,Suji,Suji,NA,Godumai ravai,Godhuma rava.,NA,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,MilledCerealProducts
A023,"Wheat, vermicelli",Triticum aestivum,Sewai,Semai,Very thin pasta,Ghaun ni sev,Siwain,Shevige,Sewian,Sewai lieh,NA,Semiya,NA,Siwain,NA,Simai,Sevian,NA,Semiya,Semiya,Semiya.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,DoughBasedProducts
A024,"Wheat, vermicelli, roasted",Triticum aestivum,Gom sewai,Semai,Very thin pasta,Ghaun ni Shekeli sev,Siwain,Shevige,Sewian,Sewai saw,NA,Semiya,NA,Siwain,NA,Simai,Bhooni sevian,NA,Semiya,Semiya,Semiya.,NA,Cereals and Millets,vegetarian eggetarian fishetarian veg,DoughBasedProducts
